name,price_eur,display_inch,display_cm,display_resolution,display_ratio,weight_kg,height_mm,width_mm,depth_mm,operating_system,cpu_processor,ram_memory,gpu_integrated,gpu_extra,internal_storage_gb,storage_type,battery_life_h,battery_capacity_wh,psu_watts,audio_system,speakers_count,has_touchscreen,keyboard_backlit,keyboard_numpad,has_webcam,has_bluetooth,bluetooth_version,wifi_standard,product_ean,product_sku,release_year,category
"Lenovo ThinkPad E14 AMD G5 14.0"" R5-7530U 16/512 SSD WUXGA W11P",892.35,14.0,35.6,1920x1200,16:10,1.53,18.0,313.0,219.3,Windows 11 Pro,AMD SoC,16.0,AMD Radeon Graphics,,512.0,SSD,,57.0,65.0,Dolby Atmos,2.0,False,True,False,True,True,5.1,Wi-Fi 6 (802.11ax),197529226803.0,21JR000CGE,,Notebooks
ACER CB315-3H-C0AY N4120,336.42,15.6,39.6,1920x1080,16:9,1.63,20.3,366.4,250.5,ChromeOS,N4120,4.0,Intel® UHD Graphics 600,,128.0,eMMC,12.5,48.0,45.0,,2.0,False,False,True,True,True,5.0,Wi-Fi 5 (802.11ac),4711121381058.0,NX.ATDEG.007,,Notebooks
LENOVO TP L14 G4 I5-1335U 16GB 512GB SSD 14.0 FHD W11P,1125.09,14.0,35.6,1920x1080,16:9,1.4,19.8,325.4,217.0,Windows 11 Pro,Intel SoC,16.0,Intel Iris Xe Graphics,,512.0,SSD,,57.0,65.0,Dolby Audio,2.0,False,True,False,True,True,5.1,Wi-Fi 6 (802.11ax),197529242032.0,21H1003DGE,,Notebooks
Fujitsu Lifebook A3511 i5-1135G7 FHD 8GB 256GB SSD DVD W11P,610.83,15.6,39.6,1920x1080,,1.95,23.9,361.0,244.0,Windows 11 Pro,i5-1135G7,8.0,Intel Iris Xe Graphics,,256.0,SSD,,,,,2.0,False,False,True,True,True,5.1,Wi-Fi 6 (802.11ax),4065221250517.0,FPC04911BS,,Notebooks
"Lenovo ThinkBook 15 G4 15.6"" i5-1235U 8/256GB FHD IPS W11P",731.31,15.6,39.6,1920x1080,16:9,1.7,18.9,357.0,235.0,Windows 11 Pro,Intel SoC,8.0,Intel Iris Xe Graphics,,256.0,SSD,6.0,45.0,65.0,Dolby Audio,2.0,False,True,True,True,True,5.1,Wi-Fi 6 (802.11ax),196379633830.0,21DJ000CGE,,Notebooks
Lenovo ThinkPad E16 AMD G1 R5-7530U 8/256 SSD WUXGA W11P,818.92,16.0,40.6,1920x1200,,1.97,19.9,356.1,247.7,Windows 11 Pro,AMD SoC,8.0,AMD Radeon,,256.0,SSD,,57.0,65.0,Dolby Atmos,2.0,False,True,True,True,True,5.1,Wi-Fi 6 (802.11ax),197529233634.0,21JT0009GE,,Notebooks
Dell Latitude 3540 I5-1335U 8GB 256GB SSD FHD W11P,749.99,15.6,39.6,1920x1080,16:9,1.81,1.81,359.0,239.7,Windows 11 Pro,i5-1335U,8.0,Intel Iris Xe Graphics,,256.0,SSD,,54.0,65.0,MaxxAudio Pro,2.0,False,True,False,True,True,,Wi-Fi 6E (802.11ax),5397184807033.0,6HXYV,,Notebooks
LENOVO IDEAPAD 5G SNAPDRAGON 14IN 8GB,1042.81,14.0,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,195891650554.0,82KF000AGE,,Notebooks
Acer Aspire 5 A517-53 Core i7 1255U - 16 GB RAM - 1.024 TB SSD - Deutsch,1138.28,17.3,43.9,1920x1080,16:9,2.3,19.9,402.1,257.9,Windows 11 Pro,Intel SoC,16.0,Intel Iris Xe Graphics,,1.0,SSD,6.0,50.0,65.0,,2.0,False,False,True,True,True,5.2,Wi-Fi 6E (802.11ax),4711121388880.0,NX.K61EG.001,,Notebooks
Dell PRECISION 7780 I7-13850HX 32GB,3926.75,17.0,43.9,1920x1080,16:9,3.02,2.59,398.0,265.0,Windows 11 Pro,Intel,32.0,Intel® UHD Graphics,NVIDIA RTX 3500,1.0,SSD,,93.0,240.0,,2.0,False,True,True,True,True,,Wi-Fi 6E (802.11ax),5397184809914.0,HG6VK,,Notebooks
"Apple MacBook Air Z12A Apple M1 Chip 8C CPU und 7C GPU 16C N.E. 16GB 256GB SSD, gold",1215.41,13.3,33.8,2560x1600,16:9,1.29,16.1,304.1,212.4,macOS Big Sur,M1,16.0,Apple GPU,,256.0,SSD,18.0,49.9,30.0,Dolby Atmos,2.0,False,True,False,True,True,5.0,Wi-Fi 6 (802.11ax),4062319432114.0,MGND3D/A-410165,2020.0,Notebooks
Lenovo ThinkPad X13 Yoga Gen 1 20SY - Flip-Design - Intel Core i7 10610U / 1.8 GHz - vPro - kein Betriebssystem - UHD Graphic,1222.97,13.3,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,196118172651.0,20SYS6TQ00?ABVERKAUF,,Notebooks
Apple Macbook Air 13 M2 CHIP 8C/8C 8GB RAM 512GB 30W MIDNIGHT,1598.37,13.0,34.5,2560x1664,,1.24,11.3,304.1,215.0,macOS Monterey,M2,8.0,Apple GPU,,512.0,SSD,,52.6,30.0,,4.0,False,True,False,True,True,5.0,Wi-Fi 6 (802.11ax),,Z160-GR02,2022.0,Notebooks
Microsoft MICROSOFT Surface Laptop 5 I5/8/512 W11 platin,1443.06,13.5,34.3,2256x1504,3:2,1.27,14.5,308.0,223.0,Windows 11 Pro,i5-1245U,8.0,Intel Iris Xe Graphics,,512.0,SSD,18.0,47.4,65.0,,,True,True,False,True,True,5.1,Wi-Fi 6 (802.11ax),,R1T-00005,2022.0,Notebooks
Lenovo TP L15 G3 R5-5675U 8GB,1017.06,15.6,39.6,1920x1080,16:9,1.76,19.9,360.2,237.0,Windows 11 Pro,AMD SoC,8.0,AMD Radeon Graphics,,256.0,SSD,,57.0,65.0,Dolby Audio,2.0,False,True,True,True,True,5.2,Wi-Fi 6E (802.11ax),196801333949.0,21C7003VGE,,Notebooks
MSI Stealth 17 Studio A13VH-014 - Intel Core i9 13900H - Win 11 Home - GeForce RTX 4080 - 64 GB RAM - 2 TB SSD NVMe - 43.9 cm,4899.28,17.3,43.9,3840x2160,,2.8,20.1,397.6,283.5,Windows 11 Home,i9-13900H,64.0,Intel Iris Xe Graphics,NVIDIA GeForce RTX 4080,2.0,SSD,,99.0,240.0,,2.0,False,True,True,True,True,5.3,Wi-Fi 6E (802.11ax),4711377038850.0,0017P2-014,,Notebooks
Apple MacBook Pro 16 M2 MAX 12C/38C 64GB RAM 1TB SSD - GREY,4818.05,16.2,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,Z176-GR05,,Notebooks
Microsoft Surface Laptop Studio Core i7/32GB/1TB/ GF RTX A2000 Win10Pro Platinum,3254.68,14.4,36.6,2400x1600,3:2,1.82,18.9,323.3,228.3,Windows 10 Pro,i7-11370H,32.0,Intel Iris Xe Graphics,NVIDIA RTX A2000,1000.0,SSD,18.0,58.0,102.0,Dolby Atmos,4.0,True,True,False,True,True,5.1,Wi-Fi 6 (802.11ax),889842850802.0,AIC-00030,,Notebooks
Apple Macbook Pro 16 M2 PRO 12C/19C,3856.34,16.0,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,Z178-GR05,,Notebooks
Apple Macbook AIR 13 M2 CHIP 8C/10C,3067.31,13.0,34.5,2560x1664,,1.24,11.3,304.1,215.0,macOS Monterey,M2,24.0,Apple GPU,,2000.0,SSD,,52.6,35.0,,4.0,False,True,False,True,True,5.0,Wi-Fi 6 (802.11ax),,Z15Z-GR09,,Notebooks
APPLE MACBOOK AIR 13 M2 CHIP 8C/10C,1857.88,6.0,34.5,2560x1664,,1.24,11.3,304.1,215.0,macOS Monterey,M2,16.0,Apple GPU,,256.0,SSD,,52.6,30.0,,4.0,False,True,False,True,True,5.0,Wi-Fi 6 (802.11ax),,Z15W-GR14,2022.0,Notebooks
TERRA MOBILE 1778R i7-13700H W11P (1920x1080,1669.0,17.3,43.9,1920x1080,16:9,2.5,25.8,396.0,262.0,Windows 11 Pro,i7-13700H,16.0,Intel Iris Xe Graphics,NVIDIA GeForce RTX 3050,1.0,SSD,4.0,,,,,False,True,True,True,True,5.2,Wi-Fi 6 (802.11ax),4039407076970.0,1220783,,Notebooks
Terra MOBILE 1716A,649.0,17.3,43.9,1920x1080,16:9,2.4,24.8,399.0,268.0,Windows 11 Pro,G6405U,8.0,Intel® UHD Graphics,,256.0,SSD,6.0,,,,,False,True,True,True,True,5.0,Wi-Fi 5 (802.11ac),4039407071821.0,1220762,,Notebooks
Microsoft Surface Laptop 5 i5 8GB 512GB 2256x1504/Touch/platin W10P,1495.12,13.5,34.3,2256x1504,3:2,1.27,14.5,308.0,223.0,Windows 10 Pro,i5-1245U,8.0,Intel Iris Xe Graphics,,512.0,SSD,18.0,47.4,65.0,,,True,True,False,True,True,5.1,Wi-Fi 6 (802.11ax),196388020706.0,R1U-00005,2022.0,Notebooks
Microsoft Surface Laptop 5 - i7/ 8GB/ 512GB W10P platinum,1734.32,15.0,38.1,2496x1664,3:2,1.56,14.7,340.0,244.0,Windows 10 Pro,i7-1265U,8.0,Intel Iris Xe Graphics,,512.0,SSD,17.0,47.4,65.0,Dolby Atmos,,True,True,False,True,True,5.1,Wi-Fi 6 (802.11ax),196388048458.0,RG1-00005,2022.0,Notebooks
APPLE MACBOOK AIR 15 M2 8C/10C/16C 8GB RAM 2TB,2633.26,15.0,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,Z18U-GR03,,Notebooks
Apple MacBook Air Z127 Apple M1 Chip 8C CPU und 7C GPU 16C N.E. 8GB 256GB SSD EN int - silber,1008.99,13.3,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,4062319431391.0,MGN93D/A-410269,,Notebooks
Microsoft Surface Laptop 4 i7 8GB 512GB/2496x1664/black W10P,1762.54,15.0,38.1,2496x1664,3:2,1.54,14.7,339.5,224.0,Windows 10 Pro,i7-1185G7,8.0,Intel Iris Xe Graphics,,512.0,SSD,16.5,,65.0,Dolby Atmos,2.0,True,True,False,True,True,5.0,Wi-Fi 6 (802.11ax),889842740363.0,5L1-00005,2021.0,Notebooks
Acer Extensa 15 EX215-22-R9LY schwarz (NX.EG9EG.001,515.04,15.6,39.6,1920x1080,16:9,1.9,19.9,363.4,247.5,Windows 10 Pro,3250U,8.0,AMD Radeon Graphics,,256.0,SSD,9.0,36.7,45.0,,2.0,False,False,True,True,True,,Wi-Fi 5 (802.11ac),4710886040576.0,NX.EG9EG.001,,Notebooks
Dell Precision 3581 I7-13800H 32GB 512GB W11P GREY,2553.87,15.6,39.6,1920x1080,16:9,1.79,2.27,357.8,233.3,Windows 11 Pro,i7-13800H,32.0,Intel Iris Xe Graphics,NVIDIA RTX 2000,512.0,SSD,,64.0,130.0,MaxxAudio,2.0,False,True,True,True,True,,Wi-Fi 6E (802.11ax),5397184828519.0,3TN25,,Notebooks
PANASONIC Toughbook 55 Windows 10 PRO DG FZ-55DZ0AWM4,2347.01,14.0,35.6,1366x768,,,272.0,345.0,32.8,Windows 10 Pro,i5-1145G7,8.0,Intel Iris Xe Graphics,,256.0,SSD,,,,,,False,True,False,True,True,5.1,Wi-Fi 6 (802.11ax),,FZ-55DZ0AWM4,,Notebooks
Microsoft Surface Laptop 4 Ry5 16GB 256GB/2256x1504/platinum W10P,1546.41,13.0,34.3,2256x1504,3:2,1.27,14.5,305.0,223.0,Windows 10 Pro,4680U,16.0,AMD Radeon Graphics,,256.0,SSD,19.0,47.4,65.0,Dolby Atmos,2.0,True,True,False,True,True,5.0,Wi-Fi 6 (802.11ax),889842743364.0,7IQ-00005,2021.0,Notebooks
Lenovo ThinkPad P1 G5 i7-12800H 1x32/1TB RTX3070 UHDvPro W10P,3855.83,16.0,40.6,3840x2400,16:10,1.81,17.7,359.5,253.8,Windows 11 Pro,Intel SoC,32.0,Intel Iris Xe Graphics,NVIDIA GeForce RTX 3070 Ti,1.0,SSD,,90.0,230.0,Dolby Atmos,2.0,False,True,False,True,True,5.2,Wi-Fi 6E (802.11ax),196380256974.0,21DC0012GE,,Notebooks
Panasonic Toughbook 55 Windows 10 PRO DG FZ-55FZ0A3M4,3489.81,14.0,35.6,1366x768,,,272.0,345.0,32.8,Windows 10 Pro,i5-1145G7,8.0,Intel Iris Xe Graphics,,256.0,SSD,,,,,,False,True,False,True,True,5.1,Wi-Fi 6 (802.11ax),,FZ-55FZ0A3M4,,Notebooks
Microsoft Surface Laptop Studio Core i7/32GB/1TB/ GF RTX 3050 Ti Win10Pro Platinum,2662.46,14.4,36.6,2400x1600,3:2,1.82,18.9,323.3,228.3,Windows 10 Pro,i7-11370H,32.0,Intel Iris Xe Graphics,NVIDIA GeForce RTX 3050 Ti,1000.0,SSD,18.0,58.0,102.0,Dolby Atmos,4.0,True,True,False,True,True,5.1,Wi-Fi 6 (802.11ax),889842849288.0,ADI-00030,,Notebooks
Fujitsu Lifebook U9312X FHD T I5-1235U,1478.92,13.3,33.8,1920x1080,16:9,1.01,16.9,390.0,214.8,Windows 11 Pro,i5-1235U,16.0,Intel Iris Xe Graphics,,512.0,SSD,11.0,64.0,65.0,,2.0,True,True,False,True,True,5.2,Wi-Fi 6E (802.11ax),4065221835875.0,VFY:U9X12M15AMDE,,Notebooks
Apple Macbook Air 13 M2 CHIP 8C/8C 16GB RAM 512GB 30W starlight,1838.8,13.0,34.5,2560x1664,,1.24,11.3,304.1,215.0,macOS Monterey,M2,16.0,Apple GPU,,512.0,SSD,,52.6,30.0,,4.0,False,True,False,True,True,5.0,Wi-Fi 6 (802.11ax),,Z15Y-GR06,2022.0,Notebooks
Lenovo Z13 G1 AMD Ryzen 7 Pro 6850U WUXGA 16GB 512GB SSD UMA WWAN 4G W11P Bronze,1457.95,13.3,33.8,1920x1200,16:10,1.26,14.0,294.4,199.6,Windows 11 Pro,AMD SoC,16.0,AMD Radeon 680M,,512.0,SSD,,51.5,65.0,Dolby Atmos,2.0,True,True,False,True,True,5.2,Wi-Fi 6E (802.11ax),196801633339.0,21D2002FGE,,Notebooks
Microsoft Surface Laptop 5 - i7/ 8GB/ 512GB W10P schwarz,1724.72,15.0,38.1,2496x1664,3:2,1.56,14.7,340.0,244.0,Windows 10 Pro,i7-1265U,8.0,Intel Iris Xe Graphics,,512.0,SSD,17.0,47.4,65.0,Dolby Atmos,,True,True,False,True,True,5.1,Wi-Fi 6 (802.11ax),196388048670.0,RG1-00028,2022.0,Notebooks
PANASONIC TOUGHBOOK FZ-55 I5-1145G7 VPRO (FZ-55DZ0PRB4,2495.05,14.0,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,FZ-55DZ0PRB4,,Notebooks
Microsoft Surface Laptop Studio i7 32GB 2TB 2400x1600/1TB/RTX A2000 W10P,3655.28,14.4,36.6,2400x1600,3:2,1.82,18.9,323.3,228.3,Windows 10 Pro,i7-11370H,32.0,Intel Iris Xe Graphics,NVIDIA RTX A2000,2000.0,SSD,18.0,58.0,102.0,Dolby Atmos,4.0,True,True,False,True,True,5.1,Wi-Fi 6 (802.11ax),889842851564.0,AIK-00030,,Notebooks
Microsoft Surface Laptop 4 - i5/16GB/ 512GB *blau*,1715.77,13.5,34.3,2256x1504,3:2,1.27,14.5,305.0,223.0,Windows 10 Pro,i5-1145G7,16.0,Intel Iris Xe Graphics,,512.0,SSD,17.0,47.4,65.0,Dolby Atmos,2.0,True,True,False,True,True,5.0,Wi-Fi 6 (802.11ax),889842731033.0,5B2-00027,2021.0,Notebooks
Microsoft Surface Laptop 4 i7 8GB 256GB/2496x1664/platinum W10P,1224.99,15.0,38.1,2496x1664,3:2,1.54,14.7,339.5,224.0,Windows 10 Pro,i7-1185G7,8.0,Intel Iris Xe Graphics,,256.0,SSD,16.5,,65.0,Dolby Atmos,2.0,True,True,False,True,True,5.0,Wi-Fi 6 (802.11ax),889842742022.0,5JI-00005,2021.0,Notebooks
Lenovo TP Z13 G1 R5 PRO 6650U 16GB,1471.34,13.3,33.8,1920x1200,16:10,1.26,14.0,294.4,199.6,Windows 11 Pro,AMD SoC,16.0,AMD Radeon 680M,,512.0,SSD,,51.5,65.0,Dolby Atmos,2.0,True,True,False,True,True,5.2,Wi-Fi 6E (802.11ax),,21D2002GGE,,Notebooks
Dell PRECISION 3580 I7-1370P 32GB,1916.1,15.6,39.6,1920x1080,16:9,1.61,2.08,357.8,233.3,Windows 11 Pro,i7-1370P,32.0,Intel Iris Xe Graphics,NVIDIA RTX A500,1.0,SSD,,54.0,130.0,MaxxAudio,2.0,False,True,True,True,True,,Wi-Fi 6E (802.11ax),5397184802724.0,RTVG6,,Notebooks
Dell Latitude 9430 I7-1265U,2399.98,14.0,35.6,2560x1600,16:10,1.4,8.46,310.6,215.2,Windows 10 Pro,i7-1265U,16.0,Intel Iris Xe Graphics,,512.0,SSD,,59.6,65.0,,4.0,True,True,False,True,True,,Wi-Fi 6E (802.11ax),5397184722046.0,317CW,2022.0,Notebooks
